Id GPUC;;Code barre de l'entr‚e;purete;reference fournisseur;identifiant fournisseur;;conditionnement;unite;;armoire;;numero de lot;Date d'achat ;Date d'ouverture ;Date de p‚remption 
;75-11-6;;;;;6;1;;6;A;A1;;;;
;75-11-6;;;;;1;1;;1;A;A1;;;;
;75-11-6;;;;;2;1;;2;A;A1;;;;
;75-11-6;;;;;5;1;;5;A;A1;;;;
;75-11-6;;;;;1;1;;1;A;A1;;;;
;75-11-6;;;;;1;1;;1;A;A1;;;;
;143-33-9;;;;;1;1;;1;A;A1;;;;
;592-85-8;;;;;1;1;;1;A;A1;;;;
;13967-50-5;;;;;1;1;;1;A;A1;;;;
;7487-94-7;;;;;1;1;;1;A;A2;;;;
;1327-53-3;;;;;1;1;;1;A;A2;;;;
;1327-53-3;;;;;1;1;;1;A;A2;;;;
;557-21-1;;;;;1;1;;1;A;A2;;;;
;79-27-6;;;;;3;1;;3;A;A2;;;;
;75-25-2;;;;;8;1;;8;A;A2;;;;
;75-25-2;;;;;9;1;;9;A;A3;;;;
;1314-62-1;;;;;1;1;;1;A;A3;;;;
;10213-10-2;;;;;1;1;;1;A;A3;;;;
;139-33-3;;;;;1;1;;1;A;A3;;;;
;7704-34-9;;;;;1;1;;1;B;B1;;;;
;7704-34-9;;;;;1;1;;1;B;B1;;;;
;10025-84-0;;;;;2;1;;2;B;B1;;;;
;10277-43-7;;;;;2;1;;2;B;B1;;;;
;62-54-4;;;;;1;1;;1;B;B1;;;;
;114460-21-8;;;;;1;1;;1;B;B1;;;;
;471-34-1;;;;;1;1;;1;B;B1;;;;
;471-34-1;;;;;1;1;;1;B;B1;;;;
;10035-04-8;;;;;1;1;;1;B;B1;;;;
;10043-52-4;;;;;2;1;;2;B;B1;;;;
;10101-39-0;;;;;1;1;;1;B;B1;;;;
;10101-41-4;;;;;1;1;;1;B;B1;;;;
;10101-41-4;;;;;1;1;;1;B;B2;;;;
;7758-87-4;;;;;1;1;;1;B;B2;;;;
;1317-38-0;;;;;1;1;;1;B;B2;;;;
;1344-28-1;;;;;2;1;;2;B;B2;;;;
;1344-28-1;;;;;1;1;;1;B;B2;;;;
;7758-99-8;;;;;1;1;;1;B;B3;;;;
;7784-13-6;;;;;1;1;;1;B;B3;;;;
;7784-13-6;;;;;1;1;;1;B;B3;;;;
;7784-27-2;;;;;1;1;;1;B;B3;;;;
;7784-30-7;;;;;1;1;;1;B;B3;;;;
